date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:08:38	74921/74921	---M--	200	added ('OK')	audio/mpeg	etag:%223f013c3-124a9-54d155e760c80%22	http://www.blairenglish.com/exercises/social/exercises/directions/pronunciation/opposite1.mp3	E:/Blair/Blair/www.blairenglish.com/exercises/social/exercises/directions/pronunciation/opposite1.mp3	(from http://www.blairenglish.com/exercises/social/exercises/directions/directions.html)
14:08:42	19295/19295	---M--	200	added ('OK')	image/jpeg	etag:%223f01eac-4b5f-54d15441daa00%22	http://www.blairenglish.com/images/photos/geo-photos/river.jpg	E:/Blair/Blair/www.blairenglish.com/images/photos/geo-photos/river.jpg	(from http://www.blairenglish.com/exercises/geographical-english/exercises/water-landforms/water-landforms.html)
14:08:48	63047/63047	---M--	200	added ('OK')	audio/ogg	etag:%223f00e66-f647-54d155566b680%22	http://www.blairenglish.com/exercises/geographical-english/exercises/water-landforms/pronunciation/waterfall.ogg	E:/Blair/Blair/www.blairenglish.com/exercises/geographical-english/exercises/water-landforms/pronunciation/waterfall.ogg	(from http://www.blairenglish.com/exercises/geographical-english/exercises/water-landforms/water-landforms.html)
14:08:49	106570/106570	---M--	200	added ('OK')	audio/mpeg	etag:%223f00e65-1a04a-54d155566b680%22	http://www.blairenglish.com/exercises/geographical-english/exercises/water-landforms/pronunciation/waterfall.mp3	E:/Blair/Blair/www.blairenglish.com/exercises/geographical-english/exercises/water-landforms/pronunciation/waterfall.mp3	(from http://www.blairenglish.com/exercises/geographical-english/exercises/water-landforms/water-landforms.html)
14:08:50	1033865/1033865	---M--	200	added ('OK')	audio/mpeg	etag:%223f013a8-fc689-54d155e760c80%22	http://www.blairenglish.com/exercises/social/exercises/directions/directions2.mp3	E:/Blair/Blair/www.blairenglish.com/exercises/social/exercises/directions/directions2.mp3	(from http://www.blairenglish.com/exercises/social/exercises/directions/directions.html)
14:08:53	19183/19183	---M--	200	added ('OK')	image/jpeg	etag:%223f01eaa-4aef-54d15441daa00%22	http://www.blairenglish.com/images/photos/geo-photos/rapids.jpg	E:/Blair/Blair/www.blairenglish.com/images/photos/geo-photos/rapids.jpg	(from http://www.blairenglish.com/exercises/geographical-english/exercises/water-landforms/water-landforms.html)
14:08:53	70208/70208	---M--	200	added ('OK')	audio/mpeg	etag:%223f00e5f-11240-54d155566b680%22	http://www.blairenglish.com/exercises/geographical-english/exercises/water-landforms/pronunciation/river.mp3	E:/Blair/Blair/www.blairenglish.com/exercises/geographical-english/exercises/water-landforms/pronunciation/river.mp3	(from http://www.blairenglish.com/exercises/geographical-english/exercises/water-landforms/water-landforms.html)
14:08:55	41723/41723	---M--	200	added ('OK')	audio/ogg	etag:%223f00e60-a2fb-54d155566b680%22	http://www.blairenglish.com/exercises/geographical-english/exercises/water-landforms/pronunciation/river.ogg	E:/Blair/Blair/www.blairenglish.com/exercises/geographical-english/exercises/water-landforms/pronunciation/river.ogg	(from http://www.blairenglish.com/exercises/geographical-english/exercises/water-landforms/water-landforms.html)
14:08:56	14858/14858	---M--	200	added ('OK')	image/jpeg	etag:%223f01ea3-3a0a-54d15441daa00%22	http://www.blairenglish.com/images/photos/geo-photos/dam.jpg	E:/Blair/Blair/www.blairenglish.com/images/photos/geo-photos/dam.jpg	(from http://www.blairenglish.com/exercises/geographical-english/exercises/water-landforms/water-landforms.html)
14:09:01	49093/49093	---M--	200	added ('OK')	audio/ogg	etag:%223f00e5c-bfc5-54d155566b680%22	http://www.blairenglish.com/exercises/geographical-english/exercises/water-landforms/pronunciation/rapids.ogg	E:/Blair/Blair/www.blairenglish.com/exercises/geographical-english/exercises/water-landforms/pronunciation/rapids.ogg	(from http://www.blairenglish.com/exercises/geographical-english/exercises/water-landforms/water-landforms.html)
14:09:02	34353/34353	---M--	200	added ('OK')	audio/ogg	etag:%223f00e56-8631-54d155566b680%22	http://www.blairenglish.com/exercises/geographical-english/exercises/water-landforms/pronunciation/dam.ogg	E:/Blair/Blair/www.blairenglish.com/exercises/geographical-english/exercises/water-landforms/pronunciation/dam.ogg	(from http://www.blairenglish.com/exercises/geographical-english/exercises/water-landforms/water-landforms.html)
14:09:03	82328/82328	---M--	200	added ('OK')	audio/mpeg	etag:%223f00e5b-14198-54d155566b680%22	http://www.blairenglish.com/exercises/geographical-english/exercises/water-landforms/pronunciation/rapids.mp3	E:/Blair/Blair/www.blairenglish.com/exercises/geographical-english/exercises/water-landforms/pronunciation/rapids.mp3	(from http://www.blairenglish.com/exercises/geographical-english/exercises/water-landforms/water-landforms.html)
14:09:03	53489/53489	---M--	200	added ('OK')	audio/mpeg	etag:%223f00e55-d0f1-54d155566b680%22	http://www.blairenglish.com/exercises/geographical-english/exercises/water-landforms/pronunciation/dam.mp3	E:/Blair/Blair/www.blairenglish.com/exercises/geographical-english/exercises/water-landforms/pronunciation/dam.mp3	(from http://www.blairenglish.com/exercises/geographical-english/exercises/water-landforms/water-landforms.html)
14:09:03	15269/15269	---M--	200	added ('OK')	image/jpeg	etag:%223f01ea0-3ba5-54d15441daa00%22	http://www.blairenglish.com/images/photos/geo-photos/canal.jpg	E:/Blair/Blair/www.blairenglish.com/images/photos/geo-photos/canal.jpg	(from http://www.blairenglish.com/exercises/geographical-english/exercises/water-landforms/water-landforms.html)
14:09:07	16432/16432	---M--	200	added ('OK')	image/jpeg	etag:%223f01ea7-4030-54d15441daa00%22	http://www.blairenglish.com/images/photos/geo-photos/lake.jpg	E:/Blair/Blair/www.blairenglish.com/images/photos/geo-photos/lake.jpg	(from http://www.blairenglish.com/exercises/geographical-english/exercises/water-landforms/water-landforms.html)
